Heading,Source,Date,Symbol
"Government open to resolving Rs 32,000 crore tax dispute with Infosys: Report",India Today,22 Aug 2024,INFY
Infosys shares up 20% in 2024 so far; can this IT stock revisit record high level?,Business Today,19 Aug 2024,INFY
Cognizant files lawsuit against Infosys over trade secrets; Infy denies,Business Standard,24 Aug 2024,INFY
