Heading,Source,Date,Symbol
Buy Oil and Natural Gas Corporation; target of Rs 327: Geojit Financial Services,Moneycontrol,13 Jun 2024,ONGC
"After 7 yrs & $1.2 bn investment, ONGC offers stake in Deen Dayal gas field",Business Standard,23 Jun 2024,ONGC
"ONGC shines among upstream PSUs; ₹35,000 crore-capex plan triggers upgrade: What's behind the bullish momentum?",Mint,13 Jun 2024,ONGC
ONGC seeks foreign partners for Mumbai High oilfield as output falls - Hindustan Times,Hindustan Times,9 Jun 2024,ONGC
Government slashes domestic natural gas prices amid major pricing overhaul,The Economic Times,1 Jun 2024,ONGC
"ONGC Vs Oil India: Splits, Bonus Issues, Dividends, Fundamentals; Which Super Maharatna PSU Stocks To Buy?",Goodreturns,19 Jun 2024,ONGC
"Essar Oil & Gas to Triple Capex to ₹1,500 Cr in FY25 for Production Boost",Essar,15 Jun 2024,ONGC
"ONGC and IOCL sign MoU for new LNG Plant at Hatta, Vindhyan Basin upgraded",ET EnergyWorld,22 Jun 2024,ONGC
"Increasing oil and gas production among top priority, says India’s petroleum minister",Carbon Copy,18 Jun 2024,ONGC
ONGC partners with Indian Oil to set up LNG plant in Madhya Pradesh,Business Standard,21 Jun 2024,ONGC
