Heading,Source,Date,Symbol
"Market Close Highlights: Sensex ends down 50pts, Nifty up at 22,530; Metal, PSB, O&G gain, FMCG, IT, Bank, FS drag",Mint,21 May 2024,NESTLEIND
"Share Market Highlights May 21, 2024: Sensex, Nifty settle flat; metal stocks shine",BusinessLine,21 May 2024,NESTLEIND
