month,strategy_return,benchmark_return,excess_return,cumulative_strategy,cumulative_benchmark
2024-03,0.026403050802054663,0.006359612206170421,0.02004343859588424,1.0264030508020547,1.0063596122061704
2024-04,-0.0036543150691560468,-0.005188050443442058,0.001533735374286011,1.022652250666481,1.001138567773802
2024-05,-0.026333485819849553,0.03209690577298502,-0.05843039159283457,0.995722252124918,1.0332720180493389
2024-06,-0.03732891721344083,0.033518468808911614,-0.07084738602235244,0.9585530186077662,1.0679057139574468
2024-07,-0.0007798766840811967,0.008996077569615936,-0.009775954253697133,0.9578054654580984,1.077512676597244
2024-08,-0.006351490152616386,0.021051335989246134,-0.02740282614186252,0.9517219734761192,1.1001957579849646
2024-09,0.01996551235816408,-0.061695426859437526,0.0816609392176016,0.970723590299093,1.03231871106714
2024-10,0.008929753692259835,-0.0071283536809054,0.016058107373165237,0.9793919128637302,1.024959978183237
2024-11,0.011851325277377789,-0.02600299388430824,0.03785431916168603,0.9909990049971115,0.9983079501388776
2024-12,-0.008163817697506286,-0.009876636642614794,0.0017128189451085084,0.9829086697819049,0.9884480252579223
2025-01,0.014892497723936431,-0.05780778801318588,0.07270028573712231,0.9975466349094694,0.9313080313517601
2025-02,0.006923800362337213,0.06329534744207592,-0.05637154707973871,1.0044534486617038,0.9902554967717655
2025-03,0.008079822748929063,0.050440955352395844,-0.04236113260346678,1.012569254486441,1.0402049300718947
2025-04,-0.02090482056931703,0.016593625130459966,-0.03749844569977699,0.991401675907395,1.057465700740364
2025-05,-0.004119544652983705,0.03238516561846918,-0.036504710271452884,0.9873175524344516,1.0917119025946913
