Heading,Source,Date,Symbol
Volume Updates: Hindustan Unilever Limited (HUL) Witnesses Surge in Trading Volume,The Economic Times,1 Mar 2024,HINDUNILVR
Hindustan Unilever evaluating various options for ice cream business: Exclusive,CNBC TV18,20 Mar 2024,HINDUNILVR
Equity is the only way ahead,Hindustan Unilever Limited,7 Mar 2024,HINDUNILVR
Hindustan Unilever weighs sale of Pureit water purifier business,Moneycontrol,28 Mar 2024,HINDUNILVR
"After Unilever decides to spin off ice cream biz, HUL plans a tempcheck in India",Mint,19 Mar 2024,HINDUNILVR
HUL in initial talks for sale of Pureit - Industry News,Financial Express,29 Mar 2024,HINDUNILVR
"Steps to separate Ice Cream, launch productivity programme",Unilever,19 Mar 2024,HINDUNILVR
Unilever plans ice cream business separation: India watches amid Amul competition,Business Today,1 Apr 2024,HINDUNILVR
"Unilever to spin off ice cream business, cut 7,500 jobs",India Today,19 Mar 2024,HINDUNILVR
"HUL to decarbonise its supply chain by 2039, use 100% green energy by 2030",Business Standard,20 Mar 2024,HINDUNILVR
