Heading,Source,Date,Symbol
Infosys receives Rs 341 crore tax demand for assessment year 2020-21,Business Standard,1 Apr 2024,INFY
"Infosys Share Price Highlights: Stock lost 0.26% during today's trading session; Check price range, day's high and low",Business Today,1 Apr 2024,INFY
Higher exposure to digital business led to tepid revenues: Infosys management,The Economic Times,7 Mar 2024,INFY
Infosys gets demand notice of ₹341 crore from income tax department,Mint,1 Apr 2024,INFY
"Accenture shares slump after cut in revenue guidance, sending Infosys ADR down 3.8%",Moneycontrol,21 Mar 2024,INFY
Ethisphere recognizes Infosys among 2024 World's Most Ethical Companies® for the Fourth Consecutive Year,PR Newswire,4 Mar 2024,INFY
"Infosys To Receive Rs 6,329 Cr Tax Refund From IT Dept",Zee News,31 Mar 2024,INFY
"Millionaire grandchildren! Not just Narayana Murthy's grandson, these Infosys co-founders' grandkids also",Times of India,19 Mar 2024,INFY
"Meet the leading stakeholder in Infosys among Narayana Murthy’s family – No, it’s not Sudha Murty",Financial Express,20 Mar 2024,INFY
"Infosys to provide AI tools to German media firm for storytelling, reports",Business Standard,27 Mar 2024,INFY
