Heading,Source,Date,Symbol
Bajaj Finance arm Bajaj Housing Finance starts preparation for IPO targeting $9-10 billion valuation,Moneycontrol,27 Mar 2024,BAJAJFINSV
Bajaj Finserv Direct Awarded Silver at the Economic Times Human Capital Awards 2024,Press Trust of India,13 Mar 2024,BAJAJFINSV
Shri Dharmendra Pradhan launches Project ODISERV,PIB,1 Mar 2024,BAJAJFINSV
Bajaj Housing Finance Bucks Up For $9-$10 Billion IPO To Fulfill Regulatory Norms; Reports,Goodreturns,28 Mar 2024,BAJAJFINSV
"Bajaj Auto to invest over Rs 3,000 crore into finance subsidiary BACL",Business Standard,24 Mar 2024,BAJAJFINSV
"Jio Financial Services Share Price Highlights: Stock gained 0.16% during today's trading session; Check price range, day's high and low",Business Today,21 Mar 2024,BAJAJFINSV
"Bajaj Group commits Rs 5,000 crore for social initiatives under Bajaj Beyond",Financial Express,22 Mar 2024,BAJAJFINSV
"Bajaj Group commits Rs 5,000 cr for five years towards CSR initiatives",The Economic Times,22 Mar 2024,BAJAJFINSV
"Stock market today: Sensex, Nifty jump over 1% each; 3 key reasons behind surge - Hindustan Times",Hindustan Times,28 Mar 2024,BAJAJFINSV
"Slogans aren't enough, we need real skilling, says Rajiv Bajaj",Mint,23 Mar 2024,BAJAJFINSV
