Heading,Source,Date,Symbol
"Britannia explores JVs to enter high-margin categories such as chocolates, fresh dairy and salty snacks",The Economic Times,4 Mar 2024,BRITANNIA
BGR Energy hits over 3-year low; stock tanks 68% in one month,Business Standard,20 Mar 2024,BRITANNIA
"Share Market Highlights: Sensex, Nifty ends higher! Nifty settles above 22,300, Sensex ends higher by more than 600 points, PSU Banks stocks top laggards",Financial Express,28 Mar 2024,BRITANNIA
Britannia unveils AI-powered camera campaign for NutriChoice with Ranveer Singh,ET BrandEquity,20 Mar 2024,BRITANNIA
"Share Market Highlights 4 March 2024: Sensex, Nifty hit new highs; energy and bank shares drive gains",BusinessLine,4 Mar 2024,BRITANNIA
Retail India News: Bourbon Shake by Winkin' Cow and Britannia Bourbon Hits Shelves,Indian Retailer,27 Mar 2024,BRITANNIA
This Indian company will pay Rs 3 lakh for a one-day internship. Last day to apply is tomorrow,Moneycontrol,9 Mar 2024,BRITANNIA
Britannia aims to change the perception of croissants with unique pronunciation internship programme,afaqs!,6 Mar 2024,BRITANNIA
"Sensex Today | Market Close Highlights: Sensex ends up 650pts, Nifty at 22,320; Bank, FS, Auto, Pharma, Health gain",Mint,28 Mar 2024,BRITANNIA
Britannia Industries Limited announces a One-day Internship to raise awareness about Croissants,The Hans India,5 Mar 2024,BRITANNIA
