Heading,Source,Date,Symbol
Bharti Airtel shares rise 3% on partnership with SpaceX,Business Today,12 Mar 2025,BHARTIARTL
"Overweight on Bharti Airtel, target price Rs 1,900: Axis Securities",The Economic Times,10 Mar 2025,BHARTIARTL
Stocks To Watch: From Bharti Airtel to TCS- Here’s a list of 9 stocks in news today,Financial Express,12 Mar 2025,BHARTIARTL
"Stocks to Watch Today: TCS, PB Fintech, Bharti Airtel, Rail Vikas Nigam, Kaynes Technology, Godrej Agrovet...",Moneycontrol,12 Mar 2025,BHARTIARTL
"IndusInd Bank, Airtel & RIL: What Gaurang Shah of Geojit Financial says on these 3 stocks",Business Today,12 Mar 2025,BHARTIARTL
Airtel to bring Starlink to India,Financial Express,11 Mar 2025,BHARTIARTL
"Stock Alert: Nykaa, Bharti Airtel, TCS, Godrej Agrovet, RVNL, PN Fintech",Business Standard,12 Mar 2025,BHARTIARTL
