Heading,Source,Date,Symbol
"JSW Steel shares jump 4% as Macquarie upgrades stock to overweight, hikes target price to Rs 1,077",The Economic Times,20 Sept 2024,JSWSTEEL
"Stock Market Highlights, Sept 16: Sensex, Nifty end flat; Bajaj Housing Finance soars 136% on debut",Business Standard,16 Sept 2024,JSWSTEEL
"Stock Market Highlights September 19, 2024: Sensex, Nifty close higher after Fed rate cut; profit-booking caps gains",BusinessLine,19 Sept 2024,JSWSTEEL
