Heading,Source,Date,Symbol
"IndusInd Bank share price today – Falls 2.5% to Rs 1,369 on global concerns, growth worries",Financial Express,5 Aug 2024,INDUSINDBK
"IndusInd Bank down 2%, hits 52-week low; trades lower for 6th straight day",Business Standard,7 Aug 2024,INDUSINDBK
Stock market today: Trade setup for Nifty 50 and Sensex today; five stocks to buy or sell on Friday - August 9,Mint,9 Aug 2024,INDUSINDBK
