Heading,Source,Date,Symbol
"Why ONGC shares rallied 8% today; stock price targets, triggers & more",Business Today,7 Aug 2024,ONGC
ONGC shares jump over 7%; brokerages maintain ‘buy’ call on stock,Financial Express,7 Aug 2024,ONGC
"ONGC , Oil India share prices rise 8%: Should you Buy Sell or Hold the stocks of upstream oil producers?",Mint,7 Aug 2024,ONGC
"Centre approves investment of Rs 10,501 cr in ONGC Petro additions Ltd",The Economic Times,10 Aug 2024,ONGC
