Heading,Source,Date,Symbol
"Bajaj Auto Q4 profit at Rs 2,011 crore, beats estimates; declares dividend",Moneycontrol,18 Apr 2024,BAJAJ-AUTO
"Bajaj Auto gets board nod for ₹2,250 crore investment in Bajaj Auto Credit",CNBC TV18,18 Apr 2024,BAJAJ-AUTO
"Bajaj Auto Q4 net profit up 18% at ₹2,011 crore, revenue rises 30%",Mint,18 Apr 2024,BAJAJ-AUTO
"Bajaj Auto board approves Rs 2,250 crore capital in NBFC subsidiary",Business Standard,18 Apr 2024,BAJAJ-AUTO
"Strong vehicle and spares business power Bajaj Auto’s record net profit of Rs 7,479 crore in FY2024",Financial Express,18 Apr 2024,BAJAJ-AUTO
"Bajaj Auto Q4 results, dividend on April 18, Thursday; analysts share earnings preview, price targets",Business Today,17 Apr 2024,BAJAJ-AUTO
Bajaj Auto Q4 FY24 profit up 35% YoY; FY24 profit grows 33%,Autocar Professional,18 Apr 2024,BAJAJ-AUTO
Bajaj Auto share price rises 2% as sales jump 25% in March. Should you buy?,Hindustan Times,2 Apr 2024,BAJAJ-AUTO
"Bajaj Auto sales grow 11% to 43.5 lakh units in FY24, exports surge in March",Upstox,1 Apr 2024,BAJAJ-AUTO
"Bajaj Auto plans INR 800 cr capex in FY25, upcoming CNG bike to launch in phases",ET Auto,25 Apr 2024,BAJAJ-AUTO
