Heading,Source,Date,Symbol
"Shriram Finance announces final dividend of ₹15 per share, record date set for Aug 28",CNBC TV18,26 Apr 2024,SHRIRAMFIN
Shriram Group in talks with partners for wealth management biz foray,Business Standard,30 Apr 2024,SHRIRAMFIN
Warburg Pincus frontrunner to buy Shriram Housing Finance,The Economic Times,3 Apr 2024,SHRIRAMFIN
Shriram Finance offers ‘digital only’ fixed deposit scheme,The Hindu,22 Apr 2024,SHRIRAMFIN
"Q4 Results 2024 Highlights: Maruti Suzuki, Shriram Finance, announced earnings; HCL Technologies’ net profit up 0.35%",Financial Express,26 Apr 2024,SHRIRAMFIN
"Share Market Highlights 15 April 2024: Sensex, Nifty slump over 1% on geopolitical tensions, weak global market trends; ONGC, Hindalco gain, Shriram Finance, Wipro drag",BusinessLine,15 Apr 2024,SHRIRAMFIN
Shriram Finance Introduces Online Fixed Deposits At 8.15% Returns,Goodreturns,23 Apr 2024,SHRIRAMFIN
BOARD OF SHRIRAM FINANCE RECOMMENDS FINAL DIVIDEND,Capital Market,26 Apr 2024,SHRIRAMFIN
South Africa's Sanlam hikes stake beyond 50% in Shriram's insurance JVs,Mint,5 Apr 2024,SHRIRAMFIN
Sanlam ups holding in Shriram group insurance arms to over 50%,The New Indian Express,5 Apr 2024,SHRIRAMFIN
