Heading,Source,Date,Symbol
"Buy Sun Pharmaceutical Industries, target price Rs 1870: Motilal Oswal",The Economic Times,24 Apr 2024,SUNPHARMA
"Sun Pharmaceuticals Industries Share Price Highlights: Stock lost 1.14% during today's trading session; Check price range, day's high and low",Business Today,18 Apr 2024,SUNPHARMA
"Investment idea: Motilal Oswal bullish on Sun Pharma; check outlook, upside",Business Standard,24 Apr 2024,SUNPHARMA
Sun Pharmaceutical: 2 key reasons why HSBC expects 16% upside despite regulatory challenges,Mint,15 Apr 2024,SUNPHARMA
Taro Announces Extraordinary General Meeting and Ordinary Class Meeting of Shareholders for Approval of Merger with Sun Pharmaceutical Industries Ltd.,Business Wire,15 Apr 2024,SUNPHARMA
Sun Pharma At Over Three-Week Low After FDAs Action On Dadra Plant,NDTV Profit,12 Apr 2024,SUNPHARMA
US FDA releases details of OAI observations at Sun Pharma’s Dadra plant,Moneycontrol,18 Apr 2024,SUNPHARMA
"From breast cancer to arthritis, Belarus seeks 84 high-quality medicines from Indian pharma companies",Financial Express,11 Apr 2024,SUNPHARMA
Sun Pharma welcomes Dheeraj Sinha as new EVP and Chief Information Officer,Elets CIO,5 Apr 2024,SUNPHARMA
Sun Pharma receives OAI status from USFDA for Dadra facility,Medical Dialogues,12 Apr 2024,SUNPHARMA
