Date,Open,High,Low,Close,Adj Close,Volume
2024-12-30,4252.75,4274.0,4168.25,4187.60009765625,4085.102294921875,1819173
2024-12-31,4162.39990234375,4217.4501953125,4150.0,4160.60009765625,4058.762939453125,492605
2025-01-01,4174.7998046875,4197.0,4130.0,4184.35009765625,4081.931640625,329310
2025-01-02,4185.0,4322.14990234375,4146.0,4311.5,4205.96923828125,1062633
2025-01-03,4265.4501953125,4299.7998046875,4162.4501953125,4243.10009765625,4139.24365234375,1269643
