Heading,Source,Date,Symbol
"Mahindra & Mahindra Finance Q2 results: Net profit rises 57% to ₹369 crore, revenue at ₹3,897 crore",Mint,22 Oct 2024,M&M
M&M Finance stock drops 8% on weak Q2 numbers; What should investors do?,Business Standard,23 Oct 2024,M&M
"Tech Mahindra shares gain over 3% after company beats Q2 estimate; Should you Buy, Sell, or Hold?",Financial Express,21 Oct 2024,M&M
