Heading,Source,Date,Symbol
Asian Paints to Tata Steel- 500 stocks hit 1-year lows on BSE; investors lose ₹13 lakh crore in a day,Mint,13 Jan 2025,ASIANPAINT
"Asian Paints, LIC, Adani Wilmar, MRF: 4 largecap stocks trade near 52-week lows; should you buy?",Business Today,15 Jan 2025,ASIANPAINT
