Heading,Source,Date,Symbol,Month
"Stocks to watch today: Reliance Power, Cipla, Shriram Finance, IT stocks",India Today,2024-12-12,CIPLA,2024-12
"Stocks to watch: Cipla, Greaves Cotton, PC Jeweller, Shriram Finance",Business Standard,2024-12-12,CIPLA,2024-12
Cipla gets CDSCO nod to launch inhalation insulin,The Economic Times,2024-12-11,CIPLA,2024-12
Cipla gets approval to market Afrezza insulin inhalation powder in India,Business Standard,2024-12-11,CIPLA,2024-12
