Heading,Source,Date,Symbol
"Bajaj Auto to invest over Rs 3,000 crore into finance subsidiary BACL",Business Standard,24 Mar 2024,BAJAJ-AUTO
"Bajaj Auto working on CNG bike, to hit road in June",The Economic Times,22 Mar 2024,BAJAJ-AUTO
Bajaj Group commits Rs 5000 crore to CSR activities over a five year period,Autocar Professional,22 Mar 2024,BAJAJ-AUTO
"Bajaj Group commits Rs 5,000 crore for social initiatives under Bajaj Beyond",Financial Express,22 Mar 2024,BAJAJ-AUTO
"Slogans aren't enough, we need real skilling, says Rajiv Bajaj",Mint,23 Mar 2024,BAJAJ-AUTO
