Heading,Source,Date,Symbol
TCS Named a Leader in the Open Banking IT Services PEAK Matrix® by Everest Group,Tata Consultancy Services,28 Aug 2024,TCS
TCS shares hit record high! Stock up 7% in 3 sessions; what's next?,Business Today,19 Aug 2024,TCS
"Mcap of 7 of top 10 valued firms rises to Rs 1.40 trn; TCS, Infosys lead",Business Standard,18 Aug 2024,TCS
"TCS IPO: Tata Consultancy Services turn ₹5,950 of allottees into ₹1.27 lakh in 20 years of share listing",Mint,26 Aug 2024,TCS
20 Years of TCS IPO,Financial Express,24 Aug 2024,TCS
"Xerox reveals 'financial details' of its 7-year deal with TCS, Microsoft and SAP in US stock exchange fil",Times of India,9 Aug 2024,TCS
Will Tata consultancy cross ₹5000 mark and should you buy it now?,Trade Brains,31 Aug 2024,TCS
TCS Dividends: Highest-ever in... - 20 yrs of IPO listing! Tata Sons firm paid rewards worth THIS MUCH,ET Now,26 Aug 2024,TCS
TCS to Fashion New Partner Landscape for Primark to Transform and Grow its Operations,Tata Consultancy Services,29 Aug 2024,TCS
TCS launches Pace Studio in Philippines to drive digital innovation,Business Standard,27 Aug 2024,TCS
