Heading,Source,Date,Symbol
"Infosys, TCS, Wipro, HCL Tech, TechM: Cognizant shares Q4; key takeaways for Indian IT firms",Business Today,6 Feb 2025,INFY
Infosys lays off 300 for failing internal exam: 'Asked to sign mutual...' | Latest News India - Hindustan Times,Hindustan Times,7 Feb 2025,INFY
Infosys Layoffs | Company says no one was 'forcefully terminated',CNBC TV18,7 Feb 2025,INFY
