Heading,Source,Date,Symbol
"ONGC, Oil India shares gain despite jump in oil prices",ET Now,4 Oct 2024,ONGC
"Israel-Iran war drives BPCL, HPCL, IOCL share price further down; ONGC shares extend gains",Mint,4 Oct 2024,ONGC
"Oil & gas, paint, tyre stocks in focus on rising crude oil prices; ONGC gains while BPCL among largest Nifty 50 losers",Mint,3 Oct 2024,ONGC
