Heading,Source,Date,Symbol
"Eicher Motors posts record revenue, profit for Q4, FY24",Autocar Professional,11 May 2024,EICHERMOT
"Eicher Motors Q4 preview: Improved sales, pricing to help rev up Royal Enfield maker's earnings",Moneycontrol,10 May 2024,EICHERMOT
"Eicher Motors: Up 50% from its 52-week low, is it the right time to buy the stock? Here's what experts say",Mint,15 May 2024,EICHERMOT
"Eicher Motors sets aside capex of ₹2,200 cr. for FY25",The Hindu,11 May 2024,EICHERMOT
"Eicher Motors' Q4 PAT rises 18%, Royal Enfield sales hit record high",Business Standard,11 May 2024,EICHERMOT
Tata Motors Share Price LIVE: Stock loses 0.20%; here’s summary so far,Business Today,21 May 2024,EICHERMOT
"Rs. 51/Share Dividend: August 7, 2024 (Wednesday) Fixed As Record Date; Buy The Blue Chip Auto Stock?",Goodreturns,14 May 2024,EICHERMOT
"Indian automakers report higher car, two-wheeler sales in April",Reuters,1 May 2024,EICHERMOT
"VECV Q4 FY24 PAT up 18.2% to INR 1,070 cr",ET Auto,11 May 2024,EICHERMOT
"Share Market Highlights 15 May 2024: Sensex, Nifty edge down; Coal India spikes up 4%",BusinessLine,15 May 2024,EICHERMOT
