Heading,Source,Date,Symbol
"Q2 Results Today: HDFC Bank, RBL Bank, Kotak Mahindra Bank, 19 others to declare Q2 results 2024 on Saturday — Oct 19",Mint,19 Oct 2024,KOTAKBANK
"Kotak Mahindra Bank shares fall over 4% as Q2 margins slip, NPAs rise. What brokerages say",The Economic Times,21 Oct 2024,KOTAKBANK
Kotak Mahindra Bank to buy Rs 4.1K cr India personal loan book of StanC,Business Standard,18 Oct 2024,KOTAKBANK
"Kotak Mahindra Bank Q2 results: Net profit rises 5% to Rs 3,344 crore, misses market estimates",Moneycontrol,19 Oct 2024,KOTAKBANK
Kotak Mahindra Bank reports 5% rise in standalone net profit,Financial Express,19 Oct 2024,KOTAKBANK
Kotak Mahindra Bank shares dive 7% after mixed Q2 results; Nuvama sees more downside,Business Today,21 Oct 2024,KOTAKBANK
Kotak Bank's Q2 net rises 4.8% year-on-year,Times of India,20 Oct 2024,KOTAKBANK
"Stocks to Watch: Tech Mahindra, HDFC Bank, Kotak Bank, Jio Financial, and more",Mint,21 Oct 2024,KOTAKBANK
"Kotak Mahindra Bank Q2 results: Consolidated PAT up 13% to Rs 5,044 crore",Business Standard,19 Oct 2024,KOTAKBANK
"Kotak Mahindra Bank Share Price Today Highlights, 21 Oct, 2024: Kotak Mahindra Bank closes 4.7% lower",Financial Express,21 Oct 2024,KOTAKBANK
