"CATEGORY 
","DATE 
","BUY VALUE 
(₹ Crores)","SELL VALUE 
(₹ Crores)","NET VALUE 
(₹ Crores)"
"DII **","25-Jun-2025","12,345.06","10,326.92","2,018.14"
"FII/FPI *","25-Jun-2025","13,140.03","15,446.13","-2,306.10"
