Heading,Source,Date,Symbol
"Apollo Hospitals jumps 3.5% after KIE's upgrade to 'buy,' forecasting 20% upside",Moneycontrol,21 Jan 2025,APOLLOHOSP
Apollo Hospitals Enterprise Ltd. Reports Revision in Stock Score Amid Recent Market Fluctuations,MarketsMojo,8 Jan 2025,APOLLOHOSP
"Apollo Hospitals rises 3%; Kotak upgrades to 'Buy' from 'Add', raises TP",Business Standard,21 Jan 2025,APOLLOHOSP
Hospital chains set for stable Q3 despite seasonal challenges,Mint,16 Jan 2025,APOLLOHOSP
"Apollo Hospitals shares may rise 22%, Kotak says after upgrade",CNBC TV18,21 Jan 2025,APOLLOHOSP
"These 5 stocks are sharply up in a falling market, here’s why…",Financial Express,6 Jan 2025,APOLLOHOSP
HMPV Virus 2025: Which Indian Stocks Could be the New Winners?,Equitymaster,7 Jan 2025,APOLLOHOSP
"Apollo University, Apollo Hospitals partner with University of Leicester for digital health",BusinessLine,21 Jan 2025,APOLLOHOSP
Microsoft inks strategic partnerships to make India’s core sectors AI-first - Microsoft Stories India,Microsoft,8 Jan 2025,APOLLOHOSP
"Titan, LTIMindtree among 5 stocks with short buildup",The Economic Times,14 Jan 2025,APOLLOHOSP
