Heading,Source,Date,Symbol
ITC Ltd eases for fifth straight session,Business Standard,18 Nov 2024,ITC
ITC Share Price Highlights: ITC Stock Price History,The Economic Times,6 Nov 2024,ITC
"ITC sets up 8 state-of-the-art facilities; plans Rs 20,000 crore investment in the medium term",Moneycontrol,8 Nov 2024,ITC
ICICI Lombard buys stake worth ₹563 crore in ITC and Axis Bank,Mint,7 Nov 2024,ITC
"Muhurat Trading 2024, Stock to BUY till next DIWALI: Analyst Rajat Sharma recommends ITC - Check Share Price Target 2025",ET Now,1 Nov 2024,ITC
"ITC, Trent, Marico shares: Goldman Sachs says these stocks are better placed amid urban demand slowdown",Business Today,12 Nov 2024,ITC
"1:10 Split, 3 Bonus, 29 Dividends: FMCG Stock ITC Losing Steam In 1-Month; Anand Rathi Says BUY, For Rs 560 TP",Goodreturns,14 Nov 2024,ITC
ITC acquires 100% stake Greenacre Holdings,Business Standard,29 Nov 2024,ITC
"ITC Hotels: 140 to 200+! Ahead of demerger and listing, ambitious targets from conglomerate",ET Now,30 Nov 2024,ITC
"Jefferies foresees strong growth potential for ITC Hotels, value to unlock post listing",Moneycontrol,28 Nov 2024,ITC
