Heading,Source,Date,Symbol
State Bank of India seeks $1.25 billion in India’s largest bank loan of 2024,The Economic Times,15 Nov 2024,SBIN
State Bank of India to channel $1.5 billion in global book in 4 months,Business Standard,25 Nov 2024,SBIN
"SBI set to borrow $1.25 billion, India's largest dollar-denominated bank loan in 2024; details here",Mint,15 Nov 2024,SBIN
SBI seeks $1.25 billion loan in one of country's largest bank lending in 2024,Times of India,15 Nov 2024,SBIN
SBI share: State Bank of India rebounds 11% in 2 days; BUY?,ET Now,25 Nov 2024,SBIN
SBI shares: State Bank of India gets thumbs up from stock analysts post Q2 results; here are target prices,Business Today,11 Nov 2024,SBIN
"SBI Q2 results: Profit soars 28% YoY to Rs 18,331 crore; stock falls 3%",Business Standard,8 Nov 2024,SBIN
"Buy State Bank of India, target price Rs 1,000: Motilal Oswal Financial Services",The Economic Times,14 Nov 2024,SBIN
SBI share price: Experts see healthy returns after Q2 results 2024,Mint,2 Nov 2024,SBIN
"State Bank of India to sell Rs 10,000 cr worth of infra bonds by Nov-end",Business Standard,8 Nov 2024,SBIN
