Heading,Source,Date,Symbol,Month
"IT stocks: Persistent Systems, LTIM, TCS, Infosys surge up to 5% on Nov 6",Business Standard,2024-11-06,HCLTECH,2024-11
"US election results: TCS, Infosys, HCL Tech, TechM shares lead Sensex gainers; here's why",Business Today,2024-11-06,HCLTECH,2024-11
Stock market today: Trade setup for Nifty 50 to Maharashtra election result; 5 stocks to buy or sell on Monday — Nov 25,Mint,2024-11-25,HCLTECH,2024-11
SEBI nod for Roshni Nadar to acquire majority shareholding in HCLTech group firms,Financial Express,2024-11-23,HCLTECH,2024-11
HCL Tech Stocks Highlights: HCL Tech Stock Price History,The Economic Times,2024-11-13,HCLTECH,2024-11
Sebi okays transfer of shares of HCL Tech's two promoter group entities; paves way for Nadar family's...,Moneycontrol,2024-11-22,HCLTECH,2024-11
