Heading,Source,Date,Symbol
"RBI identifies Fairfax Financial, Emirates NBD, Kotak Mahindra Bank as bidders for IDBI Bank’s majority stake",Mint,1 Aug 2024,KOTAKBANK
"IDBI Bank stake sale: Fairfax, Emirates NBD, Kotak Mahindra Bank get RBI’s ‘fit and proper’ certificate",CNBC TV18,1 Aug 2024,KOTAKBANK
