Heading,Source,Date,Symbol
"Power Grid Corporation of India Ltd spurts 1.11%, up for fifth straight session",Business Standard,17 Apr 2025,POWERGRID
Power Grid Corporation Of India - ​Bullish Momentum: 8 stocks with White Marubozu Pattern,The Economic Times,14 Apr 2025,POWERGRID
