Heading,Source,Date,Symbol
"Stocks in news: Infosys, Jio Financial, Wipro, ICICI Bank, SpiceJet",The Economic Times,17 Apr 2025,WIPRO
"Wipro Announces Results for the Quarter and Year Ended March 31, 2025",Business Wire,16 Apr 2025,WIPRO
"Stocks to watch: Infosys, Jio Financial, UltraTech Cement, Wipro, Paytm among shares in focus today",Mint,17 Apr 2025,WIPRO
Wipro reports 25.9% increase in net profit amid cautious Q1FY26 forecast,Times of India,16 Apr 2025,WIPRO
"Brokerages downgrade Wipro shares amid weak guidance, tariff-related caution; stock cracks 6%",Moneycontrol,17 Apr 2025,WIPRO
"Wipro Q4 results on Wednesday, April 16; earnings preview",Business Today,14 Apr 2025,WIPRO
"Wipro Q4 profit jumps 26% YoY to ₹3,570 cr; cuts revenue growth guidance for Q1FY26",Fortune India,16 Apr 2025,WIPRO
"Wipro Q4 Results Highlights: Wipro Q4 PAT rises 26% & revenue up 1%, Swaraj Engines profit jumps 29%",BusinessLine,16 Apr 2025,WIPRO
Wipro signals weak start to FY26,Financial Express,16 Apr 2025,WIPRO
Wipro sees weak FY26 start after revenue dip for second year,Mint,16 Apr 2025,WIPRO
