month,strategy_return,benchmark_return,excess_return,cumulative_strategy,cumulative_benchmark
2024-03,0.016248824214814217,0.006359612206170421,0.009889212008643795,1.0162488242148142,1.0063596122061704
2024-04,0.022390568375756897,-0.005188050443442058,0.027578618819198954,1.0390032130001785,1.001138567773802
2024-05,0.008218538907053213,0.03209690577298502,-0.023878366865931804,1.0475423013307739,1.0332720180493389
2024-06,0.0462101196931924,0.033518468808911614,0.012691650884280786,1.095949356458951,1.0679057139574468
2024-07,0.0040049224007119785,0.008996077569615936,-0.004991155168903957,1.1003385485866795,1.077512676597244
2024-08,0.009338191461078416,0.021051335989246134,-0.011713144528167718,1.110613720625387,1.1001957579849646
2024-09,-0.07676409819277283,-0.061695426859437526,-0.015068671333335303,1.025358459921059,1.03231871106714
2024-10,-0.013481221726928852,-0.0071283536809054,-0.006352868046023452,1.011535375173281,1.024959978183237
2024-11,-0.01433644360544859,-0.02600299388430824,0.01166655027885965,0.997033555312193,0.9983079501388776
2024-12,-0.0019723070512585295,-0.009876636642614794,0.007904329591356264,0.9950670990007093,0.9884480252579223
2025-01,-0.015082326156647235,-0.05780778801318588,0.042725461856538645,0.9800591724658319,0.9313080313517601
2025-02,0.05540405247088735,0.06329534744207592,-0.007891294971188567,1.0343584222817033,0.9902554967717655
2025-03,0.047297738081862564,0.050440955352395844,-0.00314321727053328,1.083281236021552,1.0402049300718947
2025-04,0.017179747366159626,0.016593625130459966,0.0005861222356996591,1.1018917339829035,1.057465700740364
2025-05,0.02289141533557363,0.03238516561846918,-0.00949375028289555,1.1271155953203416,1.0917119025946913
