week,strategy_return,benchmark_return,excess_return,cumulative_strategy,cumulative_benchmark
2024-03-03,0.01679658868555274,0.003925410317436864,0.012871178368115877,1.0167965886855528,1.0039254103174369
2024-03-10,-0.024793904773250903,-0.013849712230297621,-0.010944192542953281,0.9915862308919168,0.9900213322838569
2024-03-17,0.028012432191224523,0.0018612323664217317,0.026151199824802792,1.0193629729465286,0.9918639920309517
2024-03-24,0.020396990456016888,0.014642380187612625,0.005754610268404263,1.0401549097769358,1.006387241696672
2024-03-31,-0.001489245909136795,0.0023016302533167125,-0.0037908761624535076,1.038605863332682,1.008703573018713
2024-04-07,0.003214510045121704,-0.006481004202790727,0.00969551424791243,1.0419444723132874,1.0021661609226087
2024-04-14,-0.0015839795122500027,-0.005634751375014031,0.004050771862764028,1.040294053616241,0.9965192037693575
2024-04-21,-0.016630886340744503,0.003740478620721134,-0.020371364961465636,1.022993041449597,1.0002466625461948
2024-04-28,0.008483470393836286,-0.007399541515830401,0.015883011909666688,1.031671572629835,0.9928452958406133
2024-05-05,-0.007014327022735745,-0.017266194062622326,0.010251867039886581,1.0244350908393494,0.9757026362884677
2024-05-12,0.016264325267864574,0.016379297700135208,-0.00011497243227063386,1.0410968363725748,0.9916839602350431
2024-05-19,0.002157861260654028,0.018999860770043956,-0.01684199950938993,1.0433433789043727,1.0105258174073948
2024-05-26,-0.007550372107470768,-0.017518843982505004,0.009968471875034236,1.0354657481577787,0.9928225732719412
2024-06-02,-0.008079857627220844,0.001128357651091833,-0.009208215278312677,1.0270993323348,0.9939428322186693
2024-06-09,-0.0018832943924900244,0.008873925051495922,-0.010757219443985945,1.0251650019216838,1.0027630064172495
2024-06-16,-0.017589295118622433,-0.0024111139069339215,-0.015178181211688511,1.0071330721576002,1.0003452305871179
2024-06-23,0.018916579099709577,0.02008467246777319,-0.0011680933680636128,1.026184584581003,1.0204368368981593
2024-06-30,0.00251625265967127,0.007534619055686104,-0.0050183663960148344,1.0287667242712686,1.0281254397345763
2024-07-07,0.014700021963871355,0.007466920096028612,0.007233101867842743,1.0438896177137562,1.0358023702417687
2024-07-14,-0.01621348695082725,-0.0022694721088240832,-0.013944014842003166,1.02696452701885,1.0334516456522511
2024-07-21,0.036080596985939246,0.013284764298173138,0.02279583268776611,1.064018020237073,1.0471808071783004
2024-07-28,-0.007299461559601371,-0.004767269921091267,-0.0025321916385101038,1.0562512615996293,1.0421886136142953
2024-08-04,0.007685182493317839,0.012965812355117746,-0.005280629861799907,1.0643687453038195,1.0557014356170584
2024-08-11,-0.003548780477585209,0.00797430445742802,-0.01152308493501323,1.0605915342795336,1.0641199202808127
2024-08-18,-0.016776582311757045,0.010194260530218229,-0.026970842841975276,1.0427984331055402,1.0749678359835504
2024-08-25,-0.0016261833825694089,0.009008211908903935,-0.010634395291473343,1.0411026516222546,1.084651374045346
2024-09-01,-0.020824461086103405,-0.016873844038961285,-0.00395061704714212,1.019422249966908,1.06634913592306
2024-09-08,0.013532471330185366,0.01684684247903475,-0.003314371148849384,1.033217552337938,1.0843137518436103
2024-09-15,0.00970251483752858,0.01604172822179544,-0.006339213384266861,1.0432423609698918,1.101708018357841
2024-09-22,0.003532694568058396,0.009248543422930888,-0.005715848854872491,1.0469278175916585,1.1118972128050144
2024-09-29,-0.04180501043980203,-0.030849430067222065,-0.010955580372579966,1.0031609892475202,1.077595817496647
2024-10-06,0.037760299311042876,0.006795519393444441,0.030964779917598436,1.0410406484586683,1.0849186407727398
2024-10-13,0.0018383855715068211,-0.01090015086848481,0.01273853643999163,1.0429544825661468,1.0730928639082855
2024-10-20,-0.049112527497811115,-0.024224059367321193,-0.02488846813048992,0.9917323518621515,1.0470981986663226
2024-10-27,-0.02227261502627617,-0.0014298272820321876,-0.020842787744243984,0.9696438789800222,1.0456010290949027
2024-11-03,0.009684130670409042,0.0063699680089379295,0.003314162661471112,0.979034037007827,1.0522614742003498
2024-11-10,-0.031106139916829045,-0.02520997389555276,-0.005896166021276284,0.9485800672693235,1.025733989904463
2024-11-17,0.04299716301871801,0.019333720064361903,0.023663442954356108,0.9893663190580092,1.045565243725777
2024-11-24,-0.00564455347856347,-0.0037487059143032444,-0.0018958475642602258,0.9837817879601968,1.0416457271128323
2024-12-01,0.003658017488133043,0.01654923214735974,-0.012891214659226696,0.987380478945062,1.058884164066128
2024-12-08,-0.0002667267039343956,0.006064453521670255,-0.00633118022560465,0.9871171182043839,1.0653057178639396
2024-12-15,-0.05143616763023749,-0.043811376972424064,-0.007624790657813428,0.9363435966417462,1.0186332074677236
2024-12-22,0.028278229193876334,0.00252389332272961,0.025754335871146724,0.9628217354717999,1.021204129018362
2024-12-29,0.030099292596418924,0.015218909931110443,0.014880382665308481,0.9918019886059576,1.0367457426791704
2025-01-05,-0.019095172864285557,-0.007814633486328899,-0.011280539377956658,0.9728633581863847,1.0286439546816208
2025-01-12,-0.00942432817271456,0.005078846829688581,-0.01450317500240314,0.9636947746316271,1.0338682797697338
2025-01-19,-0.023461324357393978,-0.010818311665363733,-0.012643012692030244,0.9410852189424688,1.0226835704982513
2025-01-26,0.03443143169955523,0.028603780203233512,0.0058276514963217195,0.9734881303819475,1.0519361865662413
2025-02-02,0.014156358418852651,0.008514104924579826,0.005642253494272826,0.9872691772721331,1.0608924816326286
2025-02-09,-0.030628087968711516,-0.019346392758929444,-0.011281695209782071,0.9570310100618448,1.0403680390079684
2025-02-16,0.010594094145943098,-0.0071255737004290165,0.017719667846372113,0.967169886683027,1.0329548198704464
