Heading,Source,Date,Symbol
Bajaj Auto Share Price Highlights: Bajaj Auto Stock Price History,The Economic Times,21 Mar 2025,BAJAJ-AUTO
"Bajaj Auto to Invest Rs 1,500 crore in NBFC Arm in FY26",Autocar Professional,19 Mar 2025,BAJAJ-AUTO
"Bajaj Auto share price falls 4%, hits 52-week low; stock down 13% in 8 days",Business Standard,4 Mar 2025,BAJAJ-AUTO
Four reasons Bajaj Auto shares are in focus today,Financial Express,19 Mar 2025,BAJAJ-AUTO
"Bajaj Auto reappoints Rajiv Bajaj as MD and CEO for 5 years; ₹1,500-crore infusion approved in Bajaj Auto Credit",Mint,18 Mar 2025,BAJAJ-AUTO
"Stocks to Watch Today: Bajaj Auto, LIC, Dr Reddys Labs Zydus Lifesciences, GR Infraprojects, Super Iron...",Moneycontrol,19 Mar 2025,BAJAJ-AUTO
"Bajaj Auto rises after board clears Rs 1,500 crore fund infusion in BACL",Zee Business,19 Mar 2025,BAJAJ-AUTO
"Bajaj Auto reappoints Rajiv Bajaj as MD & CEO, approves ₹1,500-crore infusion in Bajaj Auto Credit",CNBC TV18,18 Mar 2025,BAJAJ-AUTO
"Bajaj Auto to invest ₹1,500 crore in finance arm",BusinessLine,18 Mar 2025,BAJAJ-AUTO
"Bajaj Auto shares in focus after reappointing Rajiv Bajaj, announcing Rs 1,500 crore investment in credit",The Economic Times,19 Mar 2025,BAJAJ-AUTO
