Heading,Source,Date,Symbol
"Shriram Finance plans loan, adding to record $2 billion borrowing",Business Standard,3 Mar 2025,SHRIRAMFIN
Shriram Finance targets crossing Rs 3 lakh crore in assets in FY26,Financial Express,31 Mar 2025,SHRIRAMFIN
"Shriram Finance, Hindalco among 7 stocks that are near the buy point. Do you own any?",The Economic Times,25 Mar 2025,SHRIRAMFIN
ADB and Shriram Finance to Accelerate MSME and EV Financing in India,Energetica India Magazine,26 Mar 2025,SHRIRAMFIN
"Shriram Finance gets rating upgrade from S&P, stock spurts",Business Today,18 Mar 2025,SHRIRAMFIN
How Shriram Finance streamlined its organization structure and outperformed the market | Stock Market News,Mint,4 Mar 2025,SHRIRAMFIN
"Shriram Finance: 15% ROE at 15% EPS growth, Is a re-rating on the cards?",The Indian Express,31 Mar 2025,SHRIRAMFIN
Shriram Finance And Crompton— Jefferies Sees Attractive Valuation For Entry; Prefers Metals Over IT,NDTV Profit,11 Mar 2025,SHRIRAMFIN
Shriram Finance aims to increase market share in gold loan business,Business Standard,18 Mar 2025,SHRIRAMFIN
Shriram Finance aims to cross Rs 3 lakh crore in assets in FY26,The Economic Times,30 Mar 2025,SHRIRAMFIN
