Heading,Source,Date,Symbol
"Hot stocks: Brokerages on Vodafone Idea, Bharti Airtel, Bajaj Finance and M&M Finance",The Economic Times,6 Sept 2024,BHARTIARTL
Airtel Finance launches fixed deposits with up to 9.1% interest — all details here,CNBC TV18,9 Sept 2024,BHARTIARTL
"Airtel Finance launches Fixed Deposit, offers up to 9.1% interest",Business Today,9 Sept 2024,BHARTIARTL
"ICICI Bank, Bharti Airtel, NTPC—Over 240 shares jump to 1-year peaks; Sensex, Nifty 50 hit record highs",Mint,19 Sept 2024,BHARTIARTL
Bharti Airtel becomes 4th listed company to cross Rs 10 trillion market cap,Business Standard,19 Sept 2024,BHARTIARTL
"Bharti Airtel prepays Rs 8,465 crore to DoT, clears liabilities against spectrum acquired in 2016",Financial Express,30 Sept 2024,BHARTIARTL
"Vodafone Idea drops 13%, Indus Towers falls 6% after Goldman Sachs flags concerns",Moneycontrol,6 Sept 2024,BHARTIARTL
"Airtel Finance offers FD service, partners with NBFCs, small finance banks",Business Standard,9 Sept 2024,BHARTIARTL
"Vodafone Idea, Bharti Airtel, Jio: Sales growth to surge in next 3 quarters. Tariff hike history, what to watch",Business Today,16 Sept 2024,BHARTIARTL
"Sensex ends 1,440 pts higher! Investor wealth swells by nearly Rs 7 lakh crore",The Economic Times,12 Sept 2024,BHARTIARTL
