Heading,Source,Date,Symbol
Power Grid Corporation of India Share Price Live Updates: Power Grid Corporation of India Sees Minor Pri...,The Economic Times,2 Sept 2024,POWERGRID
Power Grid Corporation shares gain on winning inter-state transmission project,Moneycontrol,24 Sept 2024,POWERGRID
Power Grid gains 2% on securing transmission system project in Gujarat,Business Standard,24 Sept 2024,POWERGRID
Govt upgrades transmission capex estimate to $110 bn; Goldman Sachs bets on THIS PSU stock,ET Now,25 Sept 2024,POWERGRID
Power Grid Shares Gain Investors' Trust After Major Project Wins,Outlook Business,25 Sept 2024,POWERGRID
Power Grid may benefit from higher investments in renewable energy | Stock Market News,Mint,20 Sept 2024,POWERGRID
Powering stocks at new highs! Power Grid Corp and Reliance Power up 5% each,Financial Express,25 Sept 2024,POWERGRID
"1:3 Bonus, 112.50% Dividend FY24; BUY Maharatna PSU Power Stock That Rose 297% After Covid; Motilal, PL Target",Goodreturns,29 Sept 2024,POWERGRID
"NTPC, Power Grid, RIL, Polycab, M&M: 20 stocks that Goldman Sachs has rated as 'buy'",Business Today,25 Sept 2024,POWERGRID
Power Grid Corporation of India Share Price Today Live Updates: Power Grid Corporation of India Sees Min...,The Economic Times,23 Sept 2024,POWERGRID
