Heading,Source,Date,Symbol
Stocks to buy: Grasim to NTPC - Bharat K of Ventura recommends these shares for short-term; Do you own?,Mint,21 Apr 2025,GRASIM
"Sensex, Nifty Today | Stock Market Highlights: Tech triumphs, markets cheer; Nifty ends above 24,300 and Sensex soars 500 points, India VIX up 5%",Financial Express,24 Apr 2025,GRASIM
