Heading,Source,Date,Symbol
IndusInd Bank shares jump 6% after lower-than-expected impact flagged in audit of derivatives portfolio,The Economic Times,16 Apr 2025,INDUSINDBK
"Stocks to Watch Today: Tata Steel, Yes Bank, Godrej Properties, AstraZeneca Pharma, IndusInd Bank, Nykaa,...",Moneycontrol,7 Apr 2025,INDUSINDBK
IndusInd Bank shares in focus today; here's why,Business Today,1 Apr 2025,INDUSINDBK
"IndusInd Bank Ltd spurts 4.46%, rises for fifth straight session",Business Standard,21 Apr 2025,INDUSINDBK
"IndusInd Bank flags 2.27% net worth hit from ₹1,979-crore worth lapse in derivates post external probe",Mint,15 Apr 2025,INDUSINDBK
IndusInd Bank appoints Santosh Kumar as Deputy CFO,ETHRWorld.com,18 Apr 2025,INDUSINDBK
IndusInd Bank shares plunge 6% on reports of second audit by EY,Fortune India,22 Apr 2025,INDUSINDBK
"Stocks in news: Vedanta, Adani Power, Bajaj Finance, IndusInd Bank, BPCL",The Economic Times,1 month ago,INDUSINDBK
"IndusInd Bank shares soars 7% as probe finds Rs 1,979 crore impact in derivatives portfolio, lower than...",Moneycontrol,16 Apr 2025,INDUSINDBK
IndusInd Bank shares in focus after clarification on PwC report,Business Today,3 Apr 2025,INDUSINDBK
