Heading,Source,Date,Symbol
ITC acquires 43.75% stake in Ample Foods,Business Standard,4 Apr 2025,ITC
"ITC offers best margin of safety, Titan top bet: BNP Paribas on FMCG stocks",Business Today,11 Apr 2025,ITC
ITC Share Price: Should you BUY its stock after 3498 cr acquisition announcement?,ET Now,1 Apr 2025,ITC
"Aditya Birla Real Estate shares in focus after Rs 3,498-crore sale of Century Pulp and Paper to ITC",The Economic Times,1 Apr 2025,ITC
"UBS says consumer sector in ‘sweet spot’; 7 top Buys include ITC, Trent, DMart",Financial Express,22 Apr 2025,ITC
"ITC |Positive outlook, considering strong fundamentals | Stock of the Day | Markets",Moneycontrol,22 Apr 2025,ITC
ITC to acquire 24 Mantra Organic brand for Rs 472.5 crore,Times of India,17 Apr 2025,ITC
ITC announces acquisition of 24 Mantra Organic brand,Mint,17 Apr 2025,ITC
"ITC on acquisition spree: Buys majority stake in Mother Sparsh, 24 Mantra Organic for ₹554 cr",Fortune India,18 Apr 2025,ITC
ITC Share Price Highlights: ITC Stock Price History,The Economic Times,4 Apr 2025,ITC
