Heading,Source,Date,Symbol
"Coal India Share Price Highlights: Stock gained 4.08% during today's trading session; Check price range, day's high and low",Business Today,15 May 2024,COALINDIA
"Share Market Highlights 15 May 2024: Sensex, Nifty edge down; Coal India spikes up 4%",BusinessLine,15 May 2024,COALINDIA
